,beername,year,rating,
15,Paulaner Hefe-Weissbier,2019,3.651190476,
15,Paulaner Hefe-Weissbier,2020,3.551724138,
15,Paulaner Hefe-Weissbier,2021,3.712,
16,Paulaner Hefeweissbier Dunkel,2000,3.84,
16,Paulaner Hefeweissbier Dunkel,2001,3.514285714,
16,Paulaner Hefeweissbier Dunkel,2002,3.685,
16,Paulaner Hefeweissbier Dunkel,2003,3.275,
16,Paulaner Hefeweissbier Dunkel,2004,3.447619048,
16,Paulaner Hefeweissbier Dunkel,2005,3.344444444,
16,Paulaner Hefeweissbier Dunkel,2006,3.295652174,
16,Paulaner Hefeweissbier Dunkel,2007,3.336956522,
16,Paulaner Hefeweissbier Dunkel,2008,3.393181818,
16,Paulaner Hefeweissbier Dunkel,2009,3.389285714,
16,Paulaner Hefeweissbier Dunkel,2010,3.476666667,
16,Paulaner Hefeweissbier Dunkel,2011,3.419607843,
16,Paulaner Hefeweissbier Dunkel,2012,3.46779661,
16,Paulaner Hefeweissbier Dunkel,2013,3.370666667,
16,Paulaner Hefeweissbier Dunkel,2014,3.435294118,
16,Paulaner Hefeweissbier Dunkel,2015,3.387719298,
16,Paulaner Hefeweissbier Dunkel,2016,3.437777778,
16,Paulaner Hefeweissbier Dunkel,2017,3.398863636,
16,Paulaner Hefeweissbier Dunkel,2018,3.408333333,
16,Paulaner Hefeweissbier Dunkel,2019,3.436538462,
16,Paulaner Hefeweissbier Dunkel,2020,3.46875,
16,Paulaner Hefeweissbier Dunkel,2021,3.508333333,
17,Tiger Beer,2000,3,
17,Tiger Beer,2001,3.52,
17,Tiger Beer,2002,2.609302326,
17,Tiger Beer,2003,2.276785714,
17,Tiger Beer,2004,2.134848485,
17,Tiger Beer,2005,2.019230769,
17,Tiger Beer,2006,2.157798165,
17,Tiger Beer,2007,2.1056,
17,Tiger Beer,2008,2.055769231,
17,Tiger Beer,2009,1.981730769,
17,Tiger Beer,2010,2.106410256,
17,Tiger Beer,2011,2.24047619,
17,Tiger Beer,2012,2.147101449,
17,Tiger Beer,2013,2.111188811,
17,Tiger Beer,2014,2.125149701,
17,Tiger Beer,2015,2.12195122,
17,Tiger Beer,2016,2.140243902,
17,Tiger Beer,2017,2.144,
17,Tiger Beer,2018,2.246153846,
17,Tiger Beer,2019,2.285106383,
17,Tiger Beer,2020,2.264705882,
17,Tiger Beer,2021,2.408333333,
18,Guinness Draught,2000,4.148,
18,Guinness Draught,2001,3.964606742,
18,Guinness Draught,2002,3.679586563,
18,Guinness Draught,2003,3.542013889,
18,Guinness Draught,2004,3.543042071,
18,Guinness Draught,2005,3.396694215,
18,Guinness Draught,2006,3.532571429,
18,Guinness Draught,2007,3.390364026,
18,Guinness Draught,2008,3.433253589,
18,Guinness Draught,2009,3.422327044,
18,Guinness Draught,2010,3.364202335,
18,Guinness Draught,2011,3.415352697,
18,Guinness Draught,2012,3.456508876,
18,Guinness Draught,2013,3.383516484,
18,Guinness Draught,2014,3.3665625,
18,Guinness Draught,2015,3.276226415,
18,Guinness Draught,2016,3.361578947,
18,Guinness Draught,2017,3.321973094,
18,Guinness Draught,2018,3.412162162,
18,Guinness Draught,2019,3.552380952,
18,Guinness Draught,2020,3.489473684,
18,Guinness Draught,2021,3.589655172,
19,Carlsberg Pilsner,2000,3,
19,Carlsberg Pilsner,2001,2.785185185,
19,Carlsberg Pilsner,2002,2.454878049,
19,Carlsberg Pilsner,2003,2.389873418,
19,Carlsberg Pilsner,2004,2.155421687,
19,Carlsberg Pilsner,2005,2.269090909,
19,Carlsberg Pilsner,2006,2.175652174,
19,Carlsberg Pilsner,2007,2.264516129,
19,Carlsberg Pilsner,2008,2.235333333,
19,Carlsberg Pilsner,2009,2.109649123,
19,Carlsberg Pilsner,2010,2.213636364,
19,Carlsberg Pilsner,2011,2.222340426,
19,Carlsberg Pilsner,2012,2.24375,
19,Carlsberg Pilsner,2013,2.265079365,
19,Carlsberg Pilsner,2014,2.212087912,
19,Carlsberg Pilsner,2015,2.296103896,
19,Carlsberg Pilsner,2016,2.3375,
19,Carlsberg Pilsner,2017,2.253333333,
19,Carlsberg Pilsner,2018,2.356862745,
19,Carlsberg Pilsner,2019,2.298412698,
19,Carlsberg Pilsner,2020,2.335714286,
19,Carlsberg Pilsner,2021,2.6,
20,Heineken,2000,1.870588235,
20,Heineken,2001,2.399342105,
20,Heineken,2002,2.312944984,
20,Heineken,2003,2.22,
20,Heineken,2004,2.112886598,
20,Heineken,2005,2.037288136,
20,Heineken,2006,2.094795539,
20,Heineken,2007,2.123492063,
20,Heineken,2008,2.068867925,
20,Heineken,2009,2.022110553,
20,Heineken,2010,1.982098765,
20,Heineken,2011,1.994886364,
20,Heineken,2012,2.200377358,
20,Heineken,2013,2.191941392,
20,Heineken,2014,2.109589041,
20,Heineken,2015,2.153535354,
20,Heineken,2016,2.226206897,
20,Heineken,2017,2.152380952,
20,Heineken,2018,2.427522936,
20,Heineken,2019,2.371717172,
20,Heineken,2020,2.561363636,
20,Heineken,2021,2.346153846,
21,San Miguel Pale Pilsen,2001,2.728571429,
21,San Miguel Pale Pilsen,2002,2.09375,
21,San Miguel Pale Pilsen,2003,1.977777778,
21,San Miguel Pale Pilsen,2004,2.040816327,
21,San Miguel Pale Pilsen,2005,1.82826087,
21,San Miguel Pale Pilsen,2006,2.015151515,
21,San Miguel Pale Pilsen,2007,2.086666667,
21,San Miguel Pale Pilsen,2008,1.981666667,
21,San Miguel Pale Pilsen,2009,2.102083333,
21,San Miguel Pale Pilsen,2010,1.932,
21,San Miguel Pale Pilsen,2011,2.003921569,
21,San Miguel Pale Pilsen,2012,2.066666667,
21,San Miguel Pale Pilsen,2013,2.032432432,
21,San Miguel Pale Pilsen,2014,2.110344828,
21,San Miguel Pale Pilsen,2015,2.116666667,
21,San Miguel Pale Pilsen,2016,2.03,
21,San Miguel Pale Pilsen,2017,2.368,
21,San Miguel Pale Pilsen,2018,2.455555556,
21,San Miguel Pale Pilsen,2019,2.389473684,
21,San Miguel Pale Pilsen,2020,2.285714286,
21,San Miguel Pale Pilsen,2021,2.2,
22,Tsingtao,2000,2.075,
22,Tsingtao,2001,2.217073171,
22,Tsingtao,2002,2.201639344,
22,Tsingtao,2003,2.120879121,
22,Tsingtao,2004,2.173394495,
22,Tsingtao,2005,2.017431193,
22,Tsingtao,2006,2.280689655,
22,Tsingtao,2007,2.143356643,
22,Tsingtao,2008,1.993150685,
22,Tsingtao,2009,1.926724138,
22,Tsingtao,2010,1.867073171,
22,Tsingtao,2011,2.011016949,
22,Tsingtao,2012,1.963583815,
22,Tsingtao,2013,1.86972973,
22,Tsingtao,2014,2.000574713,
22,Tsingtao,2015,1.999275362,
22,Tsingtao,2016,1.981318681,
22,Tsingtao,2017,2.406976744,
22,Tsingtao,2018,2.167692308,
22,Tsingtao,2019,2.211904762,
22,Tsingtao,2020,1.846153846,
22,Tsingtao,2021,2.25,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2005,2.7,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2006,1.933333333,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2007,1.768421053,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2008,2.185714286,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2009,2.095,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2010,1.942857143,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2011,1.606666667,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2012,1.5,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2013,1.628571429,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2014,2.066666667,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2015,2.1,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2016,2.7,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2017,2.1,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2018,2.2,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2019,2.1,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2020,2,
23,Tsingtao Draft Beer 11º (Pure Draft Beer),2021,2.9,
24,Cass Fresh,2002,1.283333333,
24,Cass Fresh,2003,1.525,
24,Cass Fresh,2004,1.5625,
24,Cass Fresh,2005,1.525,
24,Cass Fresh,2006,1.753846154,
24,Cass Fresh,2007,1.575,
24,Cass Fresh,2008,1.433333333,
24,Cass Fresh,2009,1.572727273,
24,Cass Fresh,2010,1.385714286,
24,Cass Fresh,2011,1.45,
24,Cass Fresh,2012,1.8,
24,Cass Fresh,2013,1.821428571,
24,Cass Fresh,2014,1.779166667,
24,Cass Fresh,2015,1.9,
24,Cass Fresh,2016,1.768571429,
24,Cass Fresh,2017,1.864285714,
24,Cass Fresh,2018,1.912,
24,Cass Fresh,2019,1.96,
24,Cass Fresh,2020,1.971428571,
24,Cass Fresh,2021,1.7,
25,Hite Beer,2001,1.6,
25,Hite Beer,2002,1.676190476,
25,Hite Beer,2003,1.715384615,
25,Hite Beer,2004,1.803571429,
25,Hite Beer,2005,1.64,
25,Hite Beer,2006,1.779310345,
25,Hite Beer,2007,1.811111111,
25,Hite Beer,2008,1.866666667,
25,Hite Beer,2009,1.777777778,
25,Hite Beer,2010,1.809090909,
25,Hite Beer,2011,1.967647059,
25,Hite Beer,2012,1.85,
25,Hite Beer,2013,1.928358209,
25,Hite Beer,2014,1.861111111,
25,Hite Beer,2015,1.907792208,
25,Hite Beer,2016,1.788888889,
25,Hite Beer,2017,2.022222222,
25,Hite Beer,2018,2.063157895,
25,Hite Beer,2019,2.016666667,
25,Hite Beer,2020,2,
25,Hite Beer,2021,2.2,
