,맥주정보,검색이름,맥주이름
44,"Desverger(22,255)
🇩🇰Copenhagen, Denmark
2.0December 21, 2017
Bottle@Jespers - Clear yellow pour with white whispy head. Grainy and skunky with some rough grassy hoppy notes, some papery cardboard, very watery and vague hoppy into…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
6",Cass Fresh,Cass Fresh
45,"brnandersen(6,248)
🇩🇰Copenhagen, Denmark
2.1December 21, 2017
Sample from 33 cl bottle. Clear golden colour with a thin white head. Sweet aroma with grasses, perfumed notes, bread and grains. Taste is light sweet. Light to medium…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
46,"Borup(21,218)
🇩🇰Albertslund, Denmark
2.2December 21, 2017
33 cl. bottle. A clear yellow coloured beer with a white head. Aroma and flavour of malt, hops, straw and with a bitter finish.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
3
Overall
9",Cass Fresh,Cass Fresh
47,"Ungstrup(47,148)
🇩🇰Citizen of the universe, Denmark
2.0December 21, 2017
Bottled. A golden beer with a white head. The aroma has notes of straw, and fruit. The flavor is sweet with notes of straw and metal, leading to a metallic finish.
Aroma
4
Appearance
4
Flavor
3
Mouthfeel
3
Overall
6",Cass Fresh,Cass Fresh
48,"yespr(54,718)
🇩🇰Copenhagen, Denmark
2.6December 21, 2017
33 cl bottle. Pours clear and golden yellow. Small white head. Aroma is grassy and slight herbal. Herbal. Grassy. Straw. Bitter and strawish. Light herbal finish.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Cass Fresh,Cass Fresh
49,"Skarecrow(1,734)
🇳🇿North Shore, Auckland, New Zealand
1.5December 17, 2017
330ml can
Pale gold with big white head.…
Show more
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
1
Overall
5",Cass Fresh,Cass Fresh
50,"FunkyF(2,561)
🇸🇪Örebro, Sweden
2.1December 10, 2017
Burk från kollega som var till Sydkorea. Ljust gul med vitt skum. Doft av bröd och citrus. Samma smak.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
5",Cass Fresh,Cass Fresh
51,"Zlotta(7,216)
🇩🇪Hagen, Germany
2.2December 1, 2017
Sampled from 0.33 l bottle from 'Shochiku', bottled in July 2017. Clear, golden yellow with a thin, frothy, slowly diminishing, white head. Sweetish, a little grassy aroma of…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Cass Fresh,Cass Fresh
52,"Eructoblaster(6,618)
🇨🇦Gatineau, Canada
1.4November 25, 2017
Can - 355ml. Pale blond, heavily carbonated body with an instantly fading, white bubbly head. Very thin malty/hoppy aroma with some bready hints. Its watery taste carries…
Show more
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
2
Overall
5",Cass Fresh,Cass Fresh
53,"kdd230(107)
🇬🇧Carshalton, England
1.5November 17, 2017
330ml. bottle in Mae Kasa, Thailand. Pours pale yellow with a small white head. Aroma of corn. Taste of rice, citrus. Sweet, fizzy, poorly flavoured.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
3",Cass Fresh,Cass Fresh
54,"Mossman23(0)
0.5November 6, 2017
Just awful. Terrible i fact. A poor attempt at making fizzy water taste like beer. I'd rather drink Budweiser.
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Cass Fresh,Cass Fresh
55,"futre7(342)
🇹🇼Taipei, Taiwan
2.2October 7, 2017
Simple Mart in Taipei City near the 101. Sure Korean beer is rubbish in general. No taste and nothing to write home about. But this one was a thirst quencher. It had a light grain and…
Show more
Aroma
1
Appearance
3
Flavor
2
Mouthfeel
4
Overall
12",Cass Fresh,Cass Fresh
56,"Gangstergafje(2,562)
🇳🇱Capelle aan den IJssel, Netherlands
1.2September 24, 2017
24-09-2017; bottle; at home (bought at an Asian supermarket in Rotterdam, The Netherlands).…
Show more
Aroma
2
Appearance
1
Flavor
3
Mouthfeel
2
Overall
4",Cass Fresh,Cass Fresh
57,"Travlr(30,303)
🇺🇸No fixed abode, United States
0.7September 19, 2017
Cam. Clear pale yellow color white coca cola head. Cereal aroma. Taste is lightly flavored water. Woof.
Aroma
1
Appearance
2
Flavor
1
Mouthfeel
1
Overall
2",Cass Fresh,Cass Fresh
58,"ffbot(597)
🇺🇸Oakland, United States
0.5September 7, 2017
Pour is a highly carbonated very light yellow with no real head, pours exactly like a soda. Smells like light sweet corn and light beer. Taste is slightly bitter and carbonated…
Show more
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Cass Fresh,Cass Fresh
59,"douglas88(11,702)
🇺🇸Portland, United States
2.9September 6, 2017
640 ml bottle from a Korean grocery store! Hell yes. Pours a clear yellow hue with a large white head. Soft fruity bready nose. Sweet, bready, toast, some paper, dust, pear. OK.…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
13",Cass Fresh,Cass Fresh
60,"90(1,011)
🇧🇪Belgium
2.1July 24, 2017
This is dishwater. Sweet dishwater. No taste, no funk, no yeast, no malts nothing! I drank it at a Korean restaurant. The food was great, the beer was awful.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
61,"northropfrye(4,283)
🇨🇦Steinbach, Canada
2.2May 12, 2017
Bottle at Irori in Steinbach, which has fantastic Korean food (and better beers than this). Clear body, white head. Grainy sweet bready. Inoffensive, but not much going on here. Mig…
Show more
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Cass Fresh,Cass Fresh
62,"cards04(3,161)
🇨🇦Steinbach, Canada
1.8May 8, 2017
Well.. Not offensive.. But unspectacular in every way. Some apple and corn aromas and flavours. The Budweiser of Korea... Actually ab inbev owns this...so ya.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
63,"fajry(3,882)
🇸🇰Slovakia
1.9May 5, 2017
Bottle on Boracay. Bledo zlata farba, bez peny. Vona sladka, kukuricna. Chut sladova, sladka, jemne travnata.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
64,"TomHendriksen(4,501)
🇳🇱Netherlands
3.2June 1, 2019
Fles gedeeld met Roelzie1986. Het is een licht pils, weinig geur en smaak. redelijk waterig.
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",Cass Fresh,Cass Fresh
65,"slowrunner77(18,649)
🇺🇸Reno, United States
1.4April 11, 2017
Entry level pee beer, as expected, but fun for a buck fifty pickup at a Sacramento market. Straw yellow, corn adjunct aroma and taste, no depth and watery and overcarbonated.…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
4",Cass Fresh,Cass Fresh
